condition,grade,count
Very Good,8,384
Very Good,6,248
Good,5,84
Poor- Worn out,1,1
Poor- Worn out,7,6
Fair- Badly worn,9,2
Good,10,120
Good,6,685
Good,11,22
Very Good,5,34
Average,8,4254
Good,4,10
Very Good,3,1
Average,12,20
Fair- Badly worn,4,5
Very Good,9,109
Average,3,1
Average,6,1035
Average,9,1996
Average,4,13
Good,12,2
Fair- Badly worn,10,1
Fair- Badly worn,7,75
Average,11,227
Average,5,100
Good,9,410
Fair- Badly worn,6,59
Fair- Badly worn,5,15
Average,7,5223
Very Good,7,831
Fair- Badly worn,8,13
Poor- Worn out,4,1
condition,grade,1
Very Good,10,22
Good,7,2828
Average,10,815
Fair- Badly worn,3,1
Very Good,11,1
Poor- Worn out,6,11
Poor- Worn out,8,1
Poor- Worn out,5,9
Good,8,1385
